models,smape,mae,rmse,mase
tirex Hong_Kong_Dengue medium,34.763604567972365,2.9972884178161623,3.8226222477888774,0.7290701556850125
tirex Colombia_Malaria medium,33.39228707175516,453.95519256591797,494.05323788779117,4.308821484857152
tirex Bangkok_Dengue medium,49.54354375605231,415.9409349229601,495.9027219720734,1.4318104472391053
tirex Ahmedabad_Dengue medium,49.50461815313838,9.900804259560324,12.340547666273741,0.9948176528744823
tirex Mexico_Influenza medium,98.30867444172588,23.995730263846262,25.74291122389493,3.8281126101855905
tirex Australia_Inflluenza medium,84.45986594281653,36.47090255970858,46.96692284747979,2.232912401614811
tirex Venezuela_Malaria medium,38.15430583179458,505.55931899126836,548.2523181391472,2.902480432622104
tirex Singapore_Dengue medium,54.618055658076074,133.4214128766741,193.1494522078471,3.772605467547337
tirex Iquitos_Dengue medium,99.2181464359439,9.948219792048137,12.20527632262805,1.5764938468273004
tirex Columbia_Dengue medium,68.00485442623608,1374.1065063476562,1484.549996380751,13.332488793983519
tirex Venezuela_Dengue medium,36.71210365877059,435.10975045868844,566.8727447410981,2.973203505162936
tirex Philippines_Dengue medium,12.167797315115548,6.4241680434570325,9.180688795618682,0.24386303793243597
tirex Japan_Influenza medium,74.22758387916123,90.46789254947585,174.38248989411565,2.3613153030858296
tirex Sanjuan_Dengue medium,107.26490923402699,69.73287499745688,93.6892423980912,4.868922632958528
tirex China_Hepatitis_B medium,3.181319848607119,3092.01875,3302.6099038084108,0.56213412417053
